event_day,event_date,event_title,event_url,organizer,blood_donation_location,start_time,end_time,blood_donor_target
Sunday,2023-01-01,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/668/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Sunday,2023-01-01,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/668/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
Monday,2023-01-02,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/679/-/kempen-derma-darah?Itemid=0,PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (SAME LEVEL WITH SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE NO. 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 MALAM,0
Monday,2023-01-02,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/679/-/kempen-derma-darah?Itemid=0,KIPMALL BANGI,"LEVEL 1 (DEPAN IMOBILE WORLD) @ KIPMALL BANGI, NO. 1, JALAN MEDAN BANGI, (BUSINESS PARK BANGI GOLF RESORT) OFF PERSIARAN KEMAJUAN, SEKSYEN 6, 43650 BANDAR BARU BANGI, SELANGOR.",11.00 PAGI,5.00 PETANG,0
Monday,2023-01-02,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/679/-/kempen-derma-darah?Itemid=0,AEON - CHERAS SELATAN STORE AND SHOPPING CENTRE,"CONCOURSE AREA (DEPAN POH KONG), GROUND FLOOR @ AEON CHERAS SELATAN STORE AND SHOPPING CENTRE, LEBUH TUN HUSSEIN ONN, 43200 BALAKONG, SELANGOR.",10.00 PAGI,5.00 PETANG,0
Monday,2023-01-02,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/679/-/kempen-derma-darah?Itemid=0,EVO MALL BANGI,"PERKARANGAN PENTAS UTAMA @ EVO SHOPPING MALL BANGI, 9, JALAN MEDAN PUSAT 2D, SEKSYEN 9, 43650 BANDAR BARU BANGI, SELANGOR.",11.00 PAGI,5.00 PETANG,0
Monday,2023-01-02,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/679/-/kempen-derma-darah?Itemid=0,LOTUS'S PUCHONG,"TINGKAT 1 (DEPAN DECATHLON) @ LOTUS’S PUCHONG, 148-149, PUSAT BANDAR PUCHONG, JALAN BANDAR 3, OFF JALAN PUCHONG, 47100 PUCHONG, SELANGOR.",11.00 PAGI,5.00 PETANG,0
Monday,2023-01-02,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/676/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK, KUALA LUMPUR","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",8.00 PAGI,4.00 PETANG,0
Monday,2023-01-02,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/676/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Monday,2023-01-02,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/676/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
Tuesday,2023-01-03,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/680/-/kempen-derma-darah?Itemid=0,PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (SAME LEVEL WITH SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE NO. 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 MALAM,0
Tuesday,2023-01-03,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/680/-/kempen-derma-darah?Itemid=0,UPM-FAKULTI BAHASA MODEN DAN KOMUNIKASI,"FOYER FAKULTI BAHASA MODEN DAN KOMUNIKASI (FBMK) @ UNIVERSITI PUTRA MALAYSIA, 43400 SERDANG, SELANGOR.",10.00 PAGI,4.00 PETANG,0
Tuesday,2023-01-03,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK, KUALA LUMPUR","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",7.30 PAGI,8.00 MALAM,0
Tuesday,2023-01-03,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Tuesday,2023-01-03,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
Wednesday,2023-01-04,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/681/-/kempen-derma-darah?Itemid=0,PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (SAME LEVEL WITH SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE NO. 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 MALAM,0
Wednesday,2023-01-04,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/681/-/kempen-derma-darah?Itemid=0,UPM-FAKULTI BAHASA MODEN DAN KOMUNIKASI,"FOYER FAKULTI BAHASA MODEN DAN KOMUNIKASI (FBMK) @ UNIVERSITI PUTRA MALAYSIA, 43400 SERDANG, SELANGOR.",10.00 PAGI,4.00 PETANG,0
Wednesday,2023-01-04,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/681/-/kempen-derma-darah?Itemid=0,SURUHANJAYA PERKHIDMATAN AWAM MALAYSIA,"DEWAN DAMAR SARI 1, BLOK F8, KOMPLEKS F @ SURUHANJAYA PERKHIDMATAN AWAM MALAYSIA (SPA), KOMPLEKS F, LEBUH PERDANA TIMUR, PRESINT 1, PUSAT PENTADBIRAN KERAJAAN PERSEKUTUAN, 62000 PUTRAJAYA.",10.00 PAGI,4.00 PETANG,0
Wednesday,2023-01-04,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/681/-/kempen-derma-darah?Itemid=0,HOSPITAL SELAYANG,"LOBI @ HOSPITAL SELAYANG, LEBUHRAYA SELAYANG-KEPONG, 68100 BATU CAVES, SELANGOR.",10.00 PAGI,4.00 PETANG,0
Wednesday,2023-01-04,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK, KUALA LUMPUR","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",7.30 PAGI,8.00 MALAM,0
Wednesday,2023-01-04,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Wednesday,2023-01-04,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
Thursday,2023-01-05,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/682/-/kempen-derma-darah?Itemid=0,PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (SAME LEVEL WITH SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE NO. 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 MALAM,0
Thursday,2023-01-05,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/682/-/kempen-derma-darah?Itemid=0,OPEN UNIVERSITY MALAYSIA (OUM),"TINGKAT 1 @ OPEN UNIVERSITY MALAYSIA (OUM), MENARA OUM, BLOCK C, KELANA CENTRE POINT, JALAN SS 7/19, KELANA JAYA, 47301 PETALING JAYA, SELANGOR.",10.00 PAGI,4.00 PETANG,0
Thursday,2023-01-05,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/682/-/kempen-derma-darah?Itemid=0,REDTONE TELECOMMUNICATIONS SDN BHD,"SUITES 22-30, 5TH FLOOR @ REDTONE TELECOMMUNICATIONS SDN BHD, SUITES 22-30, 5TH FLOOR, IOI BUSINESS PARK, 47100 PUCHONG, SELANGOR.",10.00 PAGI,4.00 PETANG,0
Thursday,2023-01-05,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/682/-/kempen-derma-darah?Itemid=0,KOLEJ MEGATECH,"LOBI @ KOLEJ MEGATECH, NO. 139, G-9 TIARA MUTIARA, BATU 6, JALAN PUCHONG, 58200 KUALA LUMPUR.",10.00 PAGI,4.00 PETANG,0
Thursday,2023-01-05,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/682/-/kempen-derma-darah?Itemid=0,PERBADANAN HAL EHWAL BEKAS ANGKATAN TENTERA,"DEWAN TAN SRI YUSOF @ KOMPLEKS PERHEBAT, KEM SG BULOH, 47000 SELANGOR.",9.30 PAGI,3.30 PETANG,0
Thursday,2023-01-05,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/682/-/kempen-derma-darah?Itemid=0,JABATAN KIMIA MALAYSIA,"DEWAN SYARAHAN, ARAS 1, BANGUNAN FORENSIK @ JABATAN KIMIA MALAYSIA, JALAN SULTAN, 46661 PETALING JAYA, SELANGOR.",9.30 PAGI,3.30 PETANG,0
Thursday,2023-01-05,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK, KUALA LUMPUR","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",7.30 PAGI,8.00 MALAM,0
Thursday,2023-01-05,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Thursday,2023-01-05,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
Friday,2023-01-06,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/683/-/kempen-derma-darah?Itemid=0,PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (SAME LEVEL WITH SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE NO. 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 MALAM,0
Friday,2023-01-06,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/683/-/kempen-derma-darah?Itemid=0,LEMBAGA PERLESENAN TENAGA ATOM (LPTA),"DEWAN BESAR @ LEMBAGA PERLESENAN TENAGA ATOM, MINISTRY OF SCIENCE, TECHNOLOGY AND INNOVATION, BATU 24, JALAN DENGKIL, 43800 DENGKIL, SELANGOR.",10.00 PAGI,4.00 PETANG,0
Friday,2023-01-06,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/683/-/kempen-derma-darah?Itemid=0,PROPBUDDIES SDN BHD,"AURORA PLACE, LEVEL 2 (DEPAN KEDAI CHATEAU DE CANTER) @ B-03-23, PLAZA BUKIT JALIL 1, PERSIARAN JALIL, BANDAR BUKIT JALIL, 57000 KUALA LUMPUR.",10.00 PAGI,4.00 PETANG,0
Friday,2023-01-06,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/683/-/kempen-derma-darah?Itemid=0,HOSPITAL SERDANG,"LOBI UTAMA @ HOSPITAL SERDANG, JALAN PUCHONG-KAJANG, 43000 SERDANG, SELANGOR.",9.00 PAGI,3.30 PETANG,0
Friday,2023-01-06,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/683/-/kempen-derma-darah?Itemid=0,SUNWAY MEDICAL CENTRE VELOCITY,"SEMINAR ROOM, M FLOOR @ SUNWAY MEDICAL CENTRE VELOCITY, LINGKARAN SV, SUNWAY VELOCITY, 55100 KUALA LUMPUR.",11.00 PAGI,4.00 PETANG,0
Friday,2023-01-06,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK, KUALA LUMPUR","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",7.30 PAGI,8.00 MALAM,0
Friday,2023-01-06,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Friday,2023-01-06,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/677/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
Saturday,2023-01-07,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/684/-/kempen-derma-darah?Itemid=0,PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (SAME LEVEL WITH SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE NO. 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 MALAM,0
Saturday,2023-01-07,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/684/-/kempen-derma-darah?Itemid=0,PERSATUAN KECEMASAN SUKARELAWAN MALAYSIA WP,"LEVEL 2, DEPAN MOTHERCARE @ SUNWAY VELOCITY MALL, LINGKARAN SV, MALURI, 55100 KUALA LUMPUR. (DIBATALKAN OLEH PENGANJUR PADA 5 JANUARI 2023)",11.00 PAGI,5.00 PETANG,0
Saturday,2023-01-07,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/684/-/kempen-derma-darah?Itemid=0,ALIVE PHARMACY SDN BHD (SHAH ALAM),"BAS PDN @ ALIVE PHARMACY KOTA KEMUNING, 3G, JALAN ANGGERIK VANILLA M 31/M, KOTA KEMUNING, 40460 SHAH ALAM, SELANGOR.",10.00 PAGI,3.00 PETANG,0
Saturday,2023-01-07,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/684/-/kempen-derma-darah?Itemid=0,UPM - PUSAT KESIHATAN,"DEWAN BESAR (SEBELAH PANGGUNG PERCUBAAN, PUSAT KEBUDAYAAN DANKESENIAN SULTAN SALAHUDDIN ABDUL AZIZ SHAH) @ UNIVERSITI PUTRA MALAYSIA, 43400 SERDANG, SELANGOR.",10.00 PAGI,4.00 PETANG,0
Saturday,2023-01-07,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/684/-/kempen-derma-darah?Itemid=0,SURAU AS-SOBIRIN SBCR,"BILIK AIRCOND & FOYER @ SURAU AS-SOBIRIN, PT 17182, JALAN BS 2/3, BUKIT SAUJANA, 47000 SUNGAI BULOH, SELANGOR.",9.00 PAGI,3.00 PETANG,0
Saturday,2023-01-07,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/684/-/kempen-derma-darah?Itemid=0,BRANDSTORM SERVICES,"GROUND FLOOR (IN FRONT OF STARBUCKS) @ EMPIRE SHOPPING GALLERY SUBANG, JALAN SS 16/1, SS 16, 47500 SUBANG JAYA, SELANGOR.",11.00 PAGI,5.00 PETANG,0
Saturday,2023-01-07,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/684/-/kempen-derma-darah?Itemid=0,LIONS CLUB OF MID VALLEY (PREVIOUSLY KNOWN AS LIONS CLUB OF KL UNITY 1314),"LEVEL 1 (IN FRONT OF SUPERJIMAT) @ MID POINT SHOPPING CENTRE, G9 G10, JALAN PANDAN INDAH 1/25, PANDAN INDAH, 55100 KUALA LUMPUR.",11.00 PAGI,5.00 PETANG,0
Saturday,2023-01-07,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/684/-/kempen-derma-darah?Itemid=0,UPM-PUSAT ISLAM UNIVERSITI,"FOYER (BAHAGIAN KIRI) @ MASJID UPM, UNIVERSITI PUTRA MALAYSIA, PUSAT ISLAM UNIVERSITI, 43400 SERDANG, SELANGOR.",9.00 PAGI,3.00 PETANG,0
Saturday,2023-01-07,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/684/-/kempen-derma-darah?Itemid=0,PERSATUAN AMAL INDAH,"GROUND FLOOR (IN FRONT OF LAZO DIAMOND) @ EKOCHERAS SHOPPING MALL BATU, 5, JALAN CHERAS, TAMAN MUTIARA BARAT, 56000 KUALA LUMPUR.",10.00 PAGI,5.00 PETANG,0
Saturday,2023-01-07,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/678/-/pusat-pendermaan-statik?Itemid=0,"PUSAT DARAH NEGARA, JALAN TUN RAZAK, KUALA LUMPUR","PUSAT DARAH NEGARA, JALAN TUN RAZAK, 50400 KUALA LUMPUR",8.00 PAGI,4.00 PETANG,0
Saturday,2023-01-07,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/678/-/pusat-pendermaan-statik?Itemid=0,PUSAT DARAH NEGARA DONATION SUITE MIDVALLEY,"LOT 0603, LEVEL 3 (MEZZANINE) SEBELAH DAISO JAPAN @ MID VALLEY MEGAMALL, 59200 KUALA LUMPUR",10.00 PAGI,9.00 MALAM,0
Saturday,2023-01-07,PUSAT PENDERMAAN STATIK,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/678/-/pusat-pendermaan-statik?Itemid=0,"SUITE DERMA DARAH PUSPANITA, PUTRAJAYA","PUSPANITAPURI DONATION SUITE PUTRAJAYA @ LOT PT 2280-2283, PERSIARAN SERI PERDANA, PRESINT 10, 65520 PUTRAJAYA",10.00 PAGI,6.00 PETANG,0
Sunday,2023-01-08,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/685/-/kempen-derma-darah?Itemid=0,PUSAT KOMUNITI ST JOHN AMBULANS MALAYSIA,"BASEMENT 2 (B2) NEW WING (SAME LEVEL WITH SAMSONITE REPAIR CENTRE) @ 1 UTAMA SHOPPING CENTRE NO. 1, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800 PETALING JAYA, SELANGOR.",11.00 PAGI,7.00 MALAM,0
Sunday,2023-01-08,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/685/-/kempen-derma-darah?Itemid=0,PERSATUAN KECEMASAN SUKARELAWAN MALAYSIA WP,"LEVEL 2, DEPAN MOTHERCARE @ SUNWAY VELOCITY MALL, LINGKARAN SV, MALURI, 55100 KUALA LUMPUR.  (DIBATALKAN OLEH PENGANJUR PADA 5 JANUARI 2023)",11.00 PAGI,5.00 PETANG,0
Sunday,2023-01-08,KEMPEN DERMA DARAH,https://pdn.gov.my/v2/index.php/component/jevents/eventdetail/685/-/kempen-derma-darah?Itemid=0,ALIVE PHARMACY SDN BHD (SHAH ALAM),"BAS PDN @ ALIVE PHARMACY KOTA KEMUNING, 3G, JALAN ANGGERIK VANILLA M 31/M, KOTA KEMUNING, 40460 SHAH ALAM, SELANGOR.",10.00 PAGI,3.00 PETANG,0
